date,time,subject,group,blocknum,blockcode,trialnum,trialcode,values.CurrentScore,values.QuestionS,values.QuestionM,values.QuestionM2,values.RTselect,response,latency,stimulus1,values.Ngain,values.Nloss
012720,12:31:57,015,FBH緑,1,FirstScreen,1,Pause,1000,,,,0,0,300,blank,0,0
012720,12:31:57,015,FBH緑,2,MMS,1,QuestionM,1000,,無気力な,3倦怠,0,M2,3916,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,2,QuestionM,1000,,活気のある,4活動的快,0,M3,3252,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,3,QuestionM,1000,,むっとした,2敵意,0,M1,2434,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,4,QuestionM,1000,,びくりとした,8驚愕,0,M1,1692,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,5,QuestionM,1000,,いとおしい,6親和,0,M2,5658,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,6,QuestionM,1000,,すてきな,6親和,0,M2,2881,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,7,QuestionM,1000,,びっくりした,8驚愕,0,M2,3419,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,8,QuestionM,1000,,憎らしい,2敵意,0,M1,2258,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,9,QuestionM,1000,,つまらない,3倦怠,0,M1,3977,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,10,QuestionM,1000,,愛らしい,6親和,0,M2,2728,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,11,QuestionM,1000,,驚いた,8驚愕,0,M2,4701,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,12,QuestionM,1000,,動揺した,8驚愕,0,M1,4930,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,13,QuestionM,1000,,不安な,1抑うつ・不安,0,M2,3700,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,14,QuestionM,1000,,元気いっぱいの,4活動的快,0,M2,7420,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,15,QuestionM,1000,,慎重な,7集中,0,M4,5212,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,16,QuestionM,1000,,陽気な,4活動的快,0,M2,2664,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,17,QuestionM,1000,,丁重な,7集中,0,M3,2815,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,18,QuestionM,1000,,うらんだ,2敵意,0,M1,2331,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,19,QuestionM,1000,,はつらつとした,4活動的快,0,M2,1789,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,20,QuestionM,1000,,ていねいな,7集中,0,M4,1995,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,21,QuestionM,1000,,のんびりした,5非活動的快,0,M3,2441,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,22,QuestionM,1000,,おっとりした,5非活動的快,0,M1,3666,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,23,QuestionM,1000,,自信がない,1抑うつ・不安,0,M2,3030,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,24,QuestionM,1000,,気がかりな,1抑うつ・不安,0,M3,2686,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,25,QuestionM,1000,,だるい,3倦怠,0,M1,2788,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,26,QuestionM,1000,,のどかな,5非活動的快,0,M2,2478,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,27,QuestionM,1000,,悩んでいる,1抑うつ・不安,0,M3,3205,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,28,QuestionM,1000,,疲れた,3倦怠,0,M3,2499,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,29,QuestionM,1000,,敵意のある,2敵意,0,M1,2362,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,30,QuestionM,1000,,のんきな,5非活動的快,0,M2,5525,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,31,QuestionM,1000,,はっとした,8驚愕,0,M1,1872,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,32,QuestionM,1000,,好きな,6親和,0,M1,7231,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,33,QuestionM,1000,,退屈な,3倦怠,0,M1,1321,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,34,QuestionM,1000,,くよくよした,1抑うつ・不安,0,M1,1076,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,35,QuestionM,1000,,恋しい,6親和,0,M3,2326,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,36,QuestionM,1000,,気力に満ちた,4活動的快,0,M2,2389,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,37,QuestionM,1000,,注意深い,7集中,0,M4,3229,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,38,QuestionM,1000,,思慮深い,7集中,0,M3,2310,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,39,QuestionM,1000,,ゆっくりした,5非活動的快,0,M2,3739,R1.png,0,0
012720,12:31:57,015,FBH緑,2,MMS,40,QuestionM,1000,,攻撃的な,2敵意,0,M1,1583,R1.png,0,0
012720,12:31:57,015,FBH緑,3,P,2,SBLL50,950,,,,1851,0,700,5010interval.png,0,1
012720,12:31:57,015,FBH緑,3,P,4,SARG50,1000,,,,1891,0,900,1050interval.png,1,1
012720,12:31:57,015,FBH緑,3,P,6,SBLL50,950,,,,4045,0,1100,5010interval.png,1,2
012720,12:31:57,015,FBH緑,3,P,8,SARL50,900,,,,1524,0,700,1050interval.png,1,3
012720,12:31:57,015,FBH緑,3,P,9,Rest,900,,,,1524,rbuttondblclk,5060,現在の得点は 900 です。,1,3
012720,12:31:57,015,FBH緑,4,Start,1,Rest,1000,,,,1524,rbuttondblclk,2716,現在の得点は 1000 です。,1,3
012720,12:31:57,015,FBH緑,5,E,2,SBRG10,1010,,,,1937,0,900,5010interval.png,1,0
012720,12:31:57,015,FBH緑,5,E,4,SARL50,960,,,,2472,0,900,1050interval.png,1,1
012720,12:31:57,015,FBH緑,5,E,6,SBLL50,910,,,,6456,0,900,5010interval.png,1,2
012720,12:31:57,015,FBH緑,5,E,8,SARL50,860,,,,2823,0,1100,1050interval.png,1,3
012720,12:31:57,015,FBH緑,5,E,10,SARL50,810,,,,2482,0,700,1050interval.png,1,4
012720,12:31:57,015,FBH緑,5,E,12,SARL50,760,,,,1299,0,1100,1050interval.png,1,5
012720,12:31:57,015,FBH緑,5,E,14,SARL50,710,,,,2093,0,900,1050interval.png,1,6
012720,12:31:57,015,FBH緑,5,E,16,SBRG10,720,,,,1541,0,1100,5010interval.png,2,6
012720,12:31:57,015,FBH緑,5,E,18,SALG10,730,,,,1791,0,700,1050interval.png,3,6
012720,12:31:57,015,FBH緑,5,E,20,SBLG50,780,,,,2072,0,1100,5010interval.png,4,6
012720,12:31:57,015,FBH緑,5,E,22,SBRG10,790,,,,1521,0,700,5010interval.png,5,6
012720,12:31:57,015,FBH緑,5,E,24,SBRL10,780,,,,1750,0,900,5010interval.png,5,7
012720,12:31:57,015,FBH緑,5,E,26,SARL50,730,,,,2154,0,1100,1050interval.png,5,8
012720,12:31:57,015,FBH緑,5,E,28,SBLG50,780,,,,1844,0,900,5010interval.png,6,8
012720,12:31:57,015,FBH緑,5,E,30,SALL10,770,,,,3797,0,900,1050interval.png,6,9
012720,12:31:57,015,FBH緑,5,E,32,SALL10,760,,,,1167,0,1100,1050interval.png,6,10
012720,12:31:57,015,FBH緑,5,E,34,SBLG50,810,,,,1386,0,700,5010interval.png,7,10
012720,12:31:57,015,FBH緑,5,E,36,SARG50,860,,,,3177,0,700,1050interval.png,8,10
012720,12:31:57,015,FBH緑,5,E,38,SALG10,870,,,,1940,0,1100,1050interval.png,9,10
012720,12:31:57,015,FBH緑,5,E,40,SBRL10,860,,,,1953,0,700,5010interval.png,9,11
012720,12:31:57,015,FBH緑,5,E,42,SBRG10,870,,,,2912,0,700,5010interval.png,10,11
012720,12:31:57,015,FBH緑,5,E,44,SBLG50,920,,,,2995,0,1100,5010interval.png,11,11
012720,12:31:57,015,FBH緑,5,E,46,SALL10,910,,,,2499,0,700,1050interval.png,11,12
012720,12:31:57,015,FBH緑,5,E,48,SBRG10,920,,,,1963,0,900,5010interval.png,12,12
012720,12:31:57,015,FBH緑,5,E,50,SARG50,970,,,,4690,0,1100,1050interval.png,13,12
012720,12:31:57,015,FBH緑,5,E,52,SBLG50,1020,,,,1673,0,700,5010interval.png,14,12
012720,12:31:57,015,FBH緑,5,E,54,SBLG50,1070,,,,4045,0,900,5010interval.png,15,12
012720,12:31:57,015,FBH緑,5,E,56,SALG10,1080,,,,2501,0,900,1050interval.png,16,12
012720,12:31:57,015,FBH緑,5,E,58,SBRL10,1070,,,,1151,0,1100,5010interval.png,16,13
012720,12:31:57,015,FBH緑,5,E,60,SBLL50,1020,,,,1833,0,700,5010interval.png,16,14
012720,12:31:57,015,FBH緑,5,E,62,SBRL10,1010,,,,630,0,700,5010interval.png,16,15
012720,12:31:57,015,FBH緑,5,E,64,SALL10,1000,,,,1353,0,700,1050interval.png,16,16
012720,12:31:57,015,FBH緑,5,E,66,SALL10,990,,,,1238,0,1100,1050interval.png,16,17
012720,12:31:57,015,FBH緑,5,E,68,SALG10,1000,,,,1144,0,900,1050interval.png,17,17
012720,12:31:57,015,FBH緑,5,E,70,SARG50,1050,,,,2695,0,1100,1050interval.png,18,17
012720,12:31:57,015,FBH緑,5,E,72,SBRL10,1040,,,,4367,0,1100,5010interval.png,18,18
012720,12:31:57,015,FBH緑,5,E,73,Rest,1040,,,,4367,rbuttondblclk,2424,現在の得点は 1040 です。,18,18
012720,12:31:57,015,FBH緑,6,E,2,SARL50,990,,,,3813,0,900,1050interval.png,0,1
012720,12:31:57,015,FBH緑,6,E,4,SBLG50,1040,,,,3458,0,1100,5010interval.png,1,1
012720,12:31:57,015,FBH緑,6,E,6,SALL10,1030,,,,2132,0,900,1050interval.png,1,2
012720,12:31:57,015,FBH緑,6,E,8,SBRL10,1020,,,,3363,0,900,5010interval.png,1,3
012720,12:31:57,015,FBH緑,6,E,10,SARG50,1070,,,,3706,0,900,1050interval.png,2,3
