date,time,subject,group,blocknum,blockcode,trialnum,trialcode,values.CurrentScore,values.QuestionS,values.QuestionM,values.QuestionM2,values.RTselect,response,latency,stimulus1,values.Ngain,values.Nloss
011520,11:02:50,1,FBS,1,FirstScreen,1,Pause,1000,,,,0,0,300,blank,0,0
011520,11:02:50,1,FBS,2,MMS,1,QuestionM,1000,,攻撃的な,2敵意,0,M1,19099,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,2,QuestionM,1000,,慎重な,7集中,0,M4,5554,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,3,QuestionM,1000,,元気いっぱいの,4活動的快,0,M3,5619,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,4,QuestionM,1000,,つまらない,3倦怠,0,M1,4592,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,5,QuestionM,1000,,動揺した,8驚愕,0,M1,4738,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,6,QuestionM,1000,,はっとした,8驚愕,0,M2,6730,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,7,QuestionM,1000,,気力に満ちた,4活動的快,0,M2,4764,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,8,QuestionM,1000,,陽気な,4活動的快,0,M2,6621,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,9,QuestionM,1000,,ていねいな,7集中,0,M4,2596,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,10,QuestionM,1000,,自信がない,1抑うつ・不安,0,M1,2707,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,11,QuestionM,1000,,丁重な,7集中,0,M4,2900,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,12,QuestionM,1000,,恋しい,6親和,0,M3,10963,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,13,QuestionM,1000,,びっくりした,8驚愕,0,M2,3317,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,14,QuestionM,1000,,ゆっくりした,5非活動的快,0,M4,5759,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,15,QuestionM,1000,,好きな,6親和,0,M4,6455,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,16,QuestionM,1000,,くよくよした,1抑うつ・不安,0,M2,3980,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,17,QuestionM,1000,,悩んでいる,1抑うつ・不安,0,M3,4516,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,18,QuestionM,1000,,疲れた,3倦怠,0,M2,5129,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,19,QuestionM,1000,,思慮深い,7集中,0,M3,4644,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,20,QuestionM,1000,,のんきな,5非活動的快,0,M4,3144,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,21,QuestionM,1000,,のどかな,5非活動的快,0,M4,1962,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,22,QuestionM,1000,,だるい,3倦怠,0,M3,1961,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,23,QuestionM,1000,,無気力な,3倦怠,0,M1,4051,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,24,QuestionM,1000,,いとおしい,6親和,0,M3,5050,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,25,QuestionM,1000,,不安な,1抑うつ・不安,0,M1,1696,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,26,QuestionM,1000,,驚いた,8驚愕,0,M3,2146,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,27,QuestionM,1000,,愛らしい,6親和,0,M3,6223,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,28,QuestionM,1000,,憎らしい,2敵意,0,M2,2822,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,29,QuestionM,1000,,むっとした,2敵意,0,M1,5985,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,30,QuestionM,1000,,敵意のある,2敵意,0,M1,2515,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,31,QuestionM,1000,,退屈な,3倦怠,0,M1,2022,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,32,QuestionM,1000,,うらんだ,2敵意,0,M1,1453,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,33,QuestionM,1000,,びくりとした,8驚愕,0,M1,3288,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,34,QuestionM,1000,,注意深い,7集中,0,M3,2692,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,35,QuestionM,1000,,はつらつとした,4活動的快,0,M4,4796,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,36,QuestionM,1000,,おっとりした,5非活動的快,0,M2,4060,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,37,QuestionM,1000,,気がかりな,1抑うつ・不安,0,M1,3144,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,38,QuestionM,1000,,活気のある,4活動的快,0,M3,2364,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,39,QuestionM,1000,,のんびりした,5非活動的快,0,M3,2948,R1.png,0,0
011520,11:02:50,1,FBS,2,MMS,40,QuestionM,1000,,すてきな,6親和,0,M3,3168,R1.png,0,0
011520,11:02:50,1,FBS,3,P,2,SALL10,990,,,,3152,0,700,1050interval.png,0,1
011520,11:02:50,1,FBS,3,P,4,SBLL50,940,,,,2285,0,900,5010interval.png,0,2
011520,11:02:50,1,FBS,3,P,6,SALG10,950,,,,2314,0,900,1050interval.png,1,2
011520,11:02:50,1,FBS,3,P,8,SBRG10,960,,,,4841,0,1100,5010interval.png,2,2
011520,11:02:50,1,FBS,3,P,9,Rest,960,,,,4841,rbuttondblclk,9514,現在の得点は 960 です。,2,2
011520,11:02:50,1,FBS,4,Start,1,Rest,1000,,,,4841,rbuttondblclk,7045,現在の得点は 1000 です。,2,2
011520,11:02:50,1,FBS,5,E,2,SALL10,990,,,,957,0,900,1050interval.png,0,1
011520,11:02:50,1,FBS,5,E,4,SARG50,1040,,,,1369,0,900,1050interval.png,1,1
011520,11:02:50,1,FBS,5,E,6,SBRG10,1050,,,,1710,0,900,5010interval.png,2,1
011520,11:02:50,1,FBS,5,E,8,SBRL10,1040,,,,608,0,700,5010interval.png,2,2
011520,11:02:50,1,FBS,5,E,10,SBRG10,1050,,,,822,0,700,5010interval.png,3,2
011520,11:02:50,1,FBS,5,E,12,SBLL50,1000,,,,543,0,700,5010interval.png,3,3
011520,11:02:50,1,FBS,5,E,14,SARG50,1050,,,,652,0,700,1050interval.png,4,3
011520,11:02:50,1,FBS,5,E,16,SALG10,1060,,,,813,0,1100,1050interval.png,5,3
011520,11:02:50,1,FBS,5,E,18,SBRL10,1050,,,,821,0,1100,5010interval.png,5,4
011520,11:02:50,1,FBS,5,E,20,SBRG10,1060,,,,675,0,1100,5010interval.png,6,4
011520,11:02:50,1,FBS,5,E,22,SALG10,1070,,,,1101,0,700,1050interval.png,7,4
011520,11:02:50,1,FBS,5,E,24,SARL50,1020,,,,713,0,700,1050interval.png,7,5
011520,11:02:50,1,FBS,5,E,26,SBLG50,1070,,,,751,0,900,5010interval.png,8,5
011520,11:02:50,1,FBS,5,E,28,SBRL10,1060,,,,715,0,900,5010interval.png,8,6
011520,11:02:50,1,FBS,5,E,30,SALG10,1070,,,,898,0,700,1050interval.png,9,6
011520,11:02:50,1,FBS,5,E,32,SALG10,1080,,,,1084,0,900,1050interval.png,10,6
011520,11:02:50,1,FBS,5,E,34,SALL10,1070,,,,571,0,1100,1050interval.png,10,7
011520,11:02:50,1,FBS,5,E,36,SBRL10,1060,,,,534,0,900,5010interval.png,10,8
011520,11:02:50,1,FBS,5,E,38,SARG50,1110,,,,477,0,1100,1050interval.png,11,8
011520,11:02:50,1,FBS,5,E,40,SBRG10,1120,,,,1091,0,700,5010interval.png,12,8
