date,time,subject,group,blocknum,blockcode,trialnum,trialcode,values.CurrentScore,values.QuestionS,values.QuestionM,values.QuestionM2,values.RTselect,response,latency,stimulus1,values.Ngain,values.Nloss
012420,17:59:45,013,FBS緑,1,FirstScreen,1,Pause,1000,,,,0,0,300,blank,0,0
012420,17:59:45,013,FBS緑,2,MMS,1,QuestionM,1000,,うらんだ,2敵意,0,M2,5360,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,2,QuestionM,1000,,元気いっぱいの,4活動的快,0,M3,4821,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,3,QuestionM,1000,,好きな,6親和,0,M3,2336,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,4,QuestionM,1000,,ていねいな,7集中,0,M3,2222,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,5,QuestionM,1000,,不安な,1抑うつ・不安,0,M2,2021,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,6,QuestionM,1000,,はつらつとした,4活動的快,0,M3,2844,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,7,QuestionM,1000,,おっとりした,5非活動的快,0,M1,2210,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,8,QuestionM,1000,,のどかな,5非活動的快,0,M1,907,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,9,QuestionM,1000,,驚いた,8驚愕,0,M3,2326,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,10,QuestionM,1000,,無気力な,3倦怠,0,M1,2303,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,11,QuestionM,1000,,思慮深い,7集中,0,M2,3288,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,12,QuestionM,1000,,のんきな,5非活動的快,0,M2,4394,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,13,QuestionM,1000,,びくりとした,8驚愕,0,M1,2509,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,14,QuestionM,1000,,陽気な,4活動的快,0,M3,1544,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,15,QuestionM,1000,,慎重な,7集中,0,M3,1244,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,16,QuestionM,1000,,むっとした,2敵意,0,M1,1288,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,17,QuestionM,1000,,憎らしい,2敵意,0,M1,810,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,18,QuestionM,1000,,のんびりした,5非活動的快,0,M1,1459,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,19,QuestionM,1000,,攻撃的な,2敵意,0,M1,1737,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,20,QuestionM,1000,,退屈な,3倦怠,0,M1,1871,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,21,QuestionM,1000,,活気のある,4活動的快,0,M3,2377,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,22,QuestionM,1000,,気力に満ちた,4活動的快,0,M3,1144,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,23,QuestionM,1000,,びっくりした,8驚愕,0,M3,1050,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,24,QuestionM,1000,,つまらない,3倦怠,0,M1,1604,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,25,QuestionM,1000,,動揺した,8驚愕,0,M2,2301,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,26,QuestionM,1000,,注意深い,7集中,0,M3,3182,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,27,QuestionM,1000,,はっとした,8驚愕,0,M2,1332,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,28,QuestionM,1000,,恋しい,6親和,0,M1,1708,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,29,QuestionM,1000,,敵意のある,2敵意,0,M1,1482,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,30,QuestionM,1000,,ゆっくりした,5非活動的快,0,M2,1928,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,31,QuestionM,1000,,疲れた,3倦怠,0,M2,1216,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,32,QuestionM,1000,,自信がない,1抑うつ・不安,0,M2,1245,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,33,QuestionM,1000,,だるい,3倦怠,0,M2,1611,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,34,QuestionM,1000,,気がかりな,1抑うつ・不安,0,M2,1427,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,35,QuestionM,1000,,丁重な,7集中,0,M3,1475,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,36,QuestionM,1000,,悩んでいる,1抑うつ・不安,0,M1,1590,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,37,QuestionM,1000,,愛らしい,6親和,0,M1,984,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,38,QuestionM,1000,,いとおしい,6親和,0,M1,780,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,39,QuestionM,1000,,すてきな,6親和,0,M2,2391,R1.png,0,0
012420,17:59:45,013,FBS緑,2,MMS,40,QuestionM,1000,,くよくよした,1抑うつ・不安,0,M1,1551,R1.png,0,0
012420,17:59:45,013,FBS緑,3,P,2,SARG50,1050,,,,2587,0,1100,1050interval.png,1,0
012420,17:59:45,013,FBS緑,3,P,4,SBRL10,1040,,,,1118,0,1100,5010interval.png,1,1
012420,17:59:45,013,FBS緑,3,P,6,SBRL10,1030,,,,721,0,700,5010interval.png,1,2
012420,17:59:45,013,FBS緑,3,P,8,SALG10,1040,,,,1136,0,900,1050interval.png,2,2
012420,17:59:45,013,FBS緑,3,P,9,Rest,1040,,,,1136,rbuttondblclk,3214,現在の得点は 1040 です。,2,2
012420,17:59:45,013,FBS緑,4,Start,1,Rest,1000,,,,1136,rbuttondblclk,10451,現在の得点は 1000 です。,2,2
012420,17:59:45,013,FBS緑,5,E,2,SBLG50,1050,,,,526,0,1100,5010interval.png,1,0
012420,17:59:45,013,FBS緑,5,E,4,SARG50,1100,,,,503,0,900,1050interval.png,2,0
012420,17:59:45,013,FBS緑,5,E,6,SALL10,1090,,,,663,0,700,1050interval.png,2,1
012420,17:59:45,013,FBS緑,5,E,8,SALG10,1100,,,,384,0,1100,1050interval.png,3,1
012420,17:59:45,013,FBS緑,5,E,10,SBLL50,1050,,,,483,0,900,5010interval.png,3,2
012420,17:59:45,013,FBS緑,5,E,12,SARL50,1000,,,,575,0,900,1050interval.png,3,3
012420,17:59:45,013,FBS緑,5,E,14,SBLL50,950,,,,598,0,700,5010interval.png,3,4
012420,17:59:45,013,FBS緑,5,E,16,SARG50,1000,,,,601,0,700,1050interval.png,4,4
012420,17:59:45,013,FBS緑,5,E,18,SALL10,990,,,,1249,0,1100,1050interval.png,4,5
012420,17:59:45,013,FBS緑,5,E,20,SARG50,1040,,,,479,0,900,1050interval.png,5,5
012420,17:59:45,013,FBS緑,5,E,22,SBLG50,1090,,,,575,0,700,5010interval.png,6,5
012420,17:59:45,013,FBS緑,5,E,24,SALL10,1080,,,,481,0,900,1050interval.png,6,6
012420,17:59:45,013,FBS緑,5,E,26,SBRL10,1070,,,,540,0,900,5010interval.png,6,7
012420,17:59:45,013,FBS緑,5,E,28,SBRL10,1060,,,,429,0,1100,5010interval.png,6,8
012420,17:59:45,013,FBS緑,5,E,30,SALL10,1050,,,,439,0,700,1050interval.png,6,9
012420,17:59:45,013,FBS緑,5,E,32,SBLG50,1100,,,,808,0,900,5010interval.png,7,9
012420,17:59:45,013,FBS緑,5,E,34,SBLL50,1050,,,,1995,0,1100,5010interval.png,7,10
012420,17:59:45,013,FBS緑,5,E,36,SARL50,1000,,,,585,0,1100,1050interval.png,7,11
012420,17:59:45,013,FBS緑,5,E,38,SBLL50,950,,,,434,0,700,5010interval.png,7,12
012420,17:59:45,013,FBS緑,5,E,40,SBLG50,1000,,,,577,0,1100,5010interval.png,8,12
012420,17:59:45,013,FBS緑,5,E,42,SARL50,950,,,,570,0,700,1050interval.png,8,13
012420,17:59:45,013,FBS緑,5,E,44,SARL50,900,,,,528,0,700,1050interval.png,8,14
012420,17:59:45,013,FBS緑,5,E,46,SBLL50,850,,,,770,0,1100,5010interval.png,8,15
012420,17:59:45,013,FBS緑,5,E,48,SALL10,840,,,,1477,0,1100,1050interval.png,8,16
012420,17:59:45,013,FBS緑,5,E,50,SBLL50,790,,,,464,0,900,5010interval.png,8,17
