date,time,subject,group,blocknum,blockcode,trialnum,trialcode,values.CurrentScore,values.QuestionS,values.QuestionM,values.QuestionM2,values.RTselect,response,latency,stimulus1,values.Ngain,values.Nloss
012320,10:44:24,07,FBH緑,1,FirstScreen,1,Pause,1000,,,,0,0,300,blank,0,0
012320,10:44:24,07,FBH緑,2,MMS,1,QuestionM,1000,,はつらつとした,4活動的快,0,M2,6896,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,2,QuestionM,1000,,のんきな,5非活動的快,0,M3,3106,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,3,QuestionM,1000,,無気力な,3倦怠,0,M1,4659,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,4,QuestionM,1000,,だるい,3倦怠,0,M2,2979,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,5,QuestionM,1000,,ていねいな,7集中,0,M3,4589,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,6,QuestionM,1000,,驚いた,8驚愕,0,M1,3626,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,7,QuestionM,1000,,恋しい,6親和,0,M1,2746,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,8,QuestionM,1000,,疲れた,3倦怠,0,M2,5910,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,9,QuestionM,1000,,気力に満ちた,4活動的快,0,M3,2510,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,10,QuestionM,1000,,いとおしい,6親和,0,M1,2901,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,11,QuestionM,1000,,動揺した,8驚愕,0,M2,4059,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,12,QuestionM,1000,,思慮深い,7集中,0,M3,3942,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,13,QuestionM,1000,,自信がない,1抑うつ・不安,0,M1,3289,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,14,QuestionM,1000,,好きな,6親和,0,M2,3499,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,15,QuestionM,1000,,敵意のある,2敵意,0,M2,1949,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,16,QuestionM,1000,,つまらない,3倦怠,0,M2,2296,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,17,QuestionM,1000,,元気いっぱいの,4活動的快,0,M2,7632,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,18,QuestionM,1000,,退屈な,3倦怠,0,M2,1874,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,19,QuestionM,1000,,慎重な,7集中,0,M4,2509,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,20,QuestionM,1000,,はっとした,8驚愕,0,M1,3472,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,21,QuestionM,1000,,丁重な,7集中,0,M3,4951,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,22,QuestionM,1000,,気がかりな,1抑うつ・不安,0,M3,3129,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,23,QuestionM,1000,,注意深い,7集中,0,M4,1887,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,24,QuestionM,1000,,憎らしい,2敵意,0,M1,2417,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,25,QuestionM,1000,,活気のある,4活動的快,0,M2,6108,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,26,QuestionM,1000,,攻撃的な,2敵意,0,M1,1714,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,27,QuestionM,1000,,むっとした,2敵意,0,M1,1472,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,28,QuestionM,1000,,悩んでいる,1抑うつ・不安,0,M2,3625,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,29,QuestionM,1000,,うらんだ,2敵意,0,M1,1543,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,30,QuestionM,1000,,のんびりした,5非活動的快,0,M4,2608,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,31,QuestionM,1000,,びくりとした,8驚愕,0,M1,2397,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,32,QuestionM,1000,,のどかな,5非活動的快,0,M4,3716,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,33,QuestionM,1000,,おっとりした,5非活動的快,0,M4,2747,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,34,QuestionM,1000,,びっくりした,8驚愕,0,M1,4578,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,35,QuestionM,1000,,不安な,1抑うつ・不安,0,M1,219,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,36,QuestionM,1000,,愛らしい,6親和,0,M1,5274,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,37,QuestionM,1000,,陽気な,4活動的快,0,M3,2611,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,38,QuestionM,1000,,すてきな,6親和,0,M2,4980,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,39,QuestionM,1000,,くよくよした,1抑うつ・不安,0,M1,1596,R1.png,0,0
012320,10:44:24,07,FBH緑,2,MMS,40,QuestionM,1000,,ゆっくりした,5非活動的快,0,M4,1982,R1.png,0,0
012320,10:44:24,07,FBH緑,3,P,2,SBLG50,1050,,,,5302,0,700,5010interval.png,1,0
012320,10:44:24,07,FBH緑,3,P,4,SALL10,1040,,,,2875,0,700,1050interval.png,1,1
012320,10:44:24,07,FBH緑,3,P,6,SALG10,1050,,,,5812,0,700,1050interval.png,2,1
012320,10:44:24,07,FBH緑,3,P,8,SBLL50,1000,,,,4715,0,900,5010interval.png,2,2
012320,10:44:24,07,FBH緑,3,P,9,Rest,1000,,,,4715,rbuttondblclk,8550,現在の得点は 1000 です。,2,2
012320,10:44:24,07,FBH緑,4,Start,1,Rest,1000,,,,4715,rbuttondblclk,2929,現在の得点は 1000 です。,2,2
012320,10:44:24,07,FBH緑,5,E,2,SBRL10,990,,,,4205,0,1100,5010interval.png,0,1
012320,10:44:24,07,FBH緑,5,E,4,SALL10,980,,,,3580,0,1100,1050interval.png,0,2
012320,10:44:24,07,FBH緑,5,E,6,SBLL50,930,,,,7082,0,700,5010interval.png,0,3
012320,10:44:24,07,FBH緑,5,E,8,SBRL10,920,,,,6125,0,700,5010interval.png,0,4
012320,10:44:24,07,FBH緑,5,E,10,SALG10,930,,,,10472,0,1100,1050interval.png,1,4
012320,10:44:24,07,FBH緑,5,E,12,SALL10,920,,,,8809,0,900,1050interval.png,1,5
012320,10:44:24,07,FBH緑,5,E,14,SALG10,930,,,,5962,0,900,1050interval.png,2,5
012320,10:44:24,07,FBH緑,5,E,16,SALG10,940,,,,8540,0,700,1050interval.png,3,5
012320,10:44:24,07,FBH緑,5,E,18,SBLL50,890,,,,2849,0,1100,5010interval.png,3,6
012320,10:44:24,07,FBH緑,5,E,20,SBLG50,940,,,,7547,0,1100,5010interval.png,4,6
012320,10:44:24,07,FBH緑,5,E,22,SARG50,990,,,,4445,0,900,1050interval.png,5,6
012320,10:44:24,07,FBH緑,5,E,24,SBRG10,1000,,,,2510,0,900,5010interval.png,6,6
012320,10:44:24,07,FBH緑,5,E,26,SALG10,1010,,,,6917,0,900,1050interval.png,7,6
012320,10:44:24,07,FBH緑,5,E,28,SBRL10,1000,,,,3557,0,900,5010interval.png,7,7
012320,10:44:24,07,FBH緑,5,E,30,SBRG10,1010,,,,6563,0,1100,5010interval.png,8,7
