id,condition,50_ratio_overall,50_ratio_nofirst,50_ratio_after_lose,cases_lose,50_ratio_after_gain,cases_gain,50_ratio_after_L10,cases_L10,50_ratio_after_G10,cases_G10,50_ratio_after_L50,cases_L50,50_ratio_after_G50,cases_G50,feel_L10,feel_G10,feel_L50,feel_G50,depression,hostility,boredom,liveliness,well_being,friendliness,concentration,startle
11,3,0.6736,0.6643,0.7429,70,0.5857,70,0.65,20,0.5926,27,0.78,50,0.5814,43,3.0,5.0,1.0,6.0,11.0,14.0,14.0,6.0,5.0,6.0,8.0,8.0
12,1,0.3472,0.3571,0.2681,138,0.4437,142,0.1562,96,0.5814,86,0.5238,42,0.2321,56,4.0,5.0,1.0,7.0,11.5,10.5,10.0,11.0,10.5,12.0,16.0,10.5
12,3,0.375,0.3857,0.3467,75,0.4308,65,0.25,44,0.4884,43,0.4839,31,0.3182,22,4.0,5.0,2.0,6.0,14.0,10.0,11.0,10.0,14.0,12.0,13.0,10.0
13,1,0.4618,0.4679,0.5401,137,0.3986,143,0.4868,76,0.44,75,0.6066,61,0.3529,68,3.0,5.0,3.0,4.0,9.0,6.5,10.5,7.5,12.5,6.0,13.0,8.0
13,2,0.4444,0.45,0.5286,70,0.3714,70,0.4872,39,0.3243,37,0.5806,31,0.4242,33,3.0,5.0,2.0,5.0,6.0,5.0,11.0,5.0,10.0,5.0,9.0,5.0
14,1,0.5139,0.5107,0.5141,142,0.5072,138,0.5897,78,0.6102,59,0.4219,64,0.4304,79,3.0,4.0,1.5,6.0,6.5,6.0,14.0,5.0,6.0,5.0,6.5,7.0
14,2,0.4931,0.4857,0.4324,74,0.5455,66,0.4615,39,0.5938,32,0.4,35,0.5,34,4.0,5.0,2.0,6.0,5.0,7.0,14.0,5.0,5.0,5.0,5.0,5.0
15,1,0.5625,0.5607,0.5915,142,0.529,138,0.5,58,0.629,62,0.6548,84,0.4474,76,5.0,3.0,4.0,7.0,8.5,6.5,12.0,7.0,5.5,8.5,13.0,8.5
15,3,0.5833,0.5857,0.6522,69,0.5211,71,0.6071,28,0.6129,31,0.6829,41,0.45,40,3.0,5.0,2.0,6.0,9.0,5.0,15.0,5.0,6.0,6.0,12.0,5.0
16,1,0.6007,0.5893,0.5563,142,0.6232,138,0.0161,62,0.0625,48,0.975,80,0.9222,90,3.5,4.5,2.0,6.0,11.0,10.5,14.5,14.5,14.5,15.0,13.5,8.0
16,3,0.3472,0.35,0.3151,73,0.3881,67,0.0196,51,0.0,40,1.0,22,0.963,27,3.0,5.0,1.0,6.0,15.0,12.0,11.0,15.0,12.0,14.0,16.0,15.0
17,1,0.5938,0.5929,0.6042,144,0.5809,136,0.5593,59,0.5926,54,0.6353,85,0.5732,82,3.0,5.0,2.0,6.5,7.0,5.0,13.5,7.5,15.0,8.0,12.0,5.0
17,2,0.5556,0.5429,0.4932,73,0.597,67,0.4286,35,0.5556,27,0.5526,38,0.625,40,3.0,6.0,2.0,6.0,8.0,5.0,16.0,5.0,10.0,5.0,9.0,5.0
18,1,0.5972,0.5893,0.5214,140,0.6571,140,0.6207,58,0.2909,55,0.4512,82,0.8941,85,2.5,6.0,1.0,7.0,14.0,18.0,16.5,7.5,11.5,9.0,9.5,12.5
18,2,0.6111,0.6,0.5352,71,0.6667,69,0.7407,27,0.2857,28,0.4091,44,0.9268,41,1.0,3.0,1.0,7.0,13.0,20.0,18.0,5.0,9.0,6.0,7.0,13.0
19,1,0.2951,0.2786,0.4014,147,0.1429,133,0.4404,109,0.1609,87,0.2895,38,0.1087,46,2.5,6.0,2.0,6.5,6.5,5.0,9.0,6.0,5.0,5.0,5.5,5.0
19,3,0.3264,0.3143,0.4583,72,0.1618,68,0.5769,52,0.0732,41,0.15,20,0.2963,27,3.0,6.0,2.0,6.0,7.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0
20,1,0.6667,0.675,0.7554,139,0.5957,141,0.587,46,0.6875,48,0.8387,93,0.5484,93,3.5,4.5,2.0,6.0,9.5,6.0,13.0,13.5,15.0,15.0,13.0,7.5
20,3,0.625,0.6214,0.7313,67,0.5205,73,0.8077,26,0.5,26,0.6829,41,0.5319,47,4.0,4.0,3.0,6.0,7.0,7.0,15.0,10.0,15.0,13.0,9.0,8.0
